Date,WS10M_MAX_punto1,WS10M_MAX_punto2,WS10M_MAX_punto3,WS10M_MAX_punto4,WS10M_MAX_punto5,WS10M_MAX_punto6
2014-01-01,1.93,1.35,1.01,2.17,2.55,1.41
2014-01-02,2.03,1.55,1.45,2.39,3.48,1.06
2014-01-03,1.29,1.49,1.3,1.78,2.66,1.5
2014-01-04,2.19,1.28,1.3,1.78,2.64,1.96
2014-01-05,1.2,1.02,1.29,2.39,3.58,1.46
2014-01-06,2.47,1.28,1.2,1.88,2.2,1.35
2014-01-07,2.05,1.07,0.95,2.72,3.16,1.29
2014-01-08,2.11,1.06,1.38,2.24,3.0,1.27
2014-01-09,2.5,1.35,1.21,2.2,2.92,1.51
2014-01-10,2.27,1.27,1.27,2.88,3.41,1.2
2014-01-11,2.28,1.96,1.78,1.97,2.73,1.13
2014-01-12,1.54,2.0,1.71,1.59,2.46,1.27
2014-01-13,1.84,1.84,1.73,2.12,2.97,1.8
2014-01-14,2.11,1.53,1.35,1.8,2.82,1.94
2014-01-15,1.91,1.73,1.43,1.83,2.7,1.93
2014-01-16,2.28,1.6,1.52,2.06,2.92,2.17
2014-01-17,2.08,1.36,1.35,1.45,2.52,1.91
2014-01-18,1.82,1.11,1.49,1.73,2.25,1.91
2014-01-19,1.48,0.93,1.19,1.12,1.67,1.39
2014-01-20,2.12,1.42,1.05,1.98,3.13,1.45
2014-01-21,1.45,1.15,1.24,2.79,3.75,1.68
2014-01-22,2.77,1.3,1.04,2.48,3.42,1.43
2014-01-23,2.29,1.16,1.2,2.17,3.11,1.96
2014-01-24,2.49,1.41,1.34,2.27,3.34,1.83
2014-01-25,2.38,1.24,1.02,2.28,3.01,1.36
2014-01-26,2.46,1.55,1.36,2.26,3.4,1.29
2014-01-27,2.4,1.61,1.57,2.07,3.18,1.41
2014-01-28,2.33,1.38,1.21,2.3,3.53,1.6
2014-01-29,2.26,1.39,1.24,2.4,3.24,1.62
2014-01-30,2.13,1.87,1.42,2.48,3.25,1.01
2014-01-31,2.06,1.45,1.32,1.81,2.68,2.03
2014-02-01,1.82,1.38,1.37,2.45,3.42,2.04
2014-02-02,2.11,1.72,1.44,2.41,2.84,1.56
2014-02-03,2.59,1.33,1.28,2.52,3.35,1.2
2014-02-04,2.26,1.06,0.81,2.09,2.91,1.12
2014-02-05,2.52,1.1,0.81,1.66,2.65,1.55
2014-02-06,1.68,1.48,1.21,1.95,3.13,1.28
2014-02-07,1.7,1.27,1.2,2.52,3.51,1.52
2014-02-08,2.02,1.18,1.31,2.48,3.52,1.95
2014-02-09,1.96,1.74,1.48,2.37,3.23,1.24
2014-02-10,2.09,1.71,1.45,1.45,2.12,1.73
2014-02-11,1.14,1.48,1.14,1.66,2.33,1.71
2014-02-12,2.04,1.52,1.17,1.98,2.7,1.7
2014-02-13,2.09,1.6,1.38,2.53,3.29,0.97
2014-02-14,1.22,1.2,1.34,2.12,3.19,0.94
2014-02-15,1.77,1.56,1.23,2.53,3.91,1.52
2014-02-16,2.45,1.47,1.26,1.83,3.06,1.63
2014-02-17,2.18,1.35,1.59,1.41,2.73,1.56
2014-02-18,1.96,1.38,1.21,1.68,2.91,1.49
2014-02-19,1.91,1.23,1.12,1.98,2.98,1.38
2014-02-20,1.98,1.25,1.22,2.04,3.58,1.22
2014-02-21,2.96,1.18,1.16,3.0,4.46,1.32
2014-02-22,1.88,1.55,1.58,2.01,2.8,1.34
2014-02-23,2.38,1.17,0.99,1.88,1.91,1.92
2014-02-24,2.41,1.35,1.23,1.8,2.59,1.75
2014-02-25,2.09,1.44,1.32,1.94,3.49,1.19
2014-02-26,2.62,1.27,1.3,2.7,3.79,1.37
2014-02-27,3.27,1.41,1.38,3.02,4.23,2.51
2014-02-28,2.53,1.11,1.11,1.88,2.54,1.62
2014-03-01,3.45,1.41,1.21,2.02,3.2,2.73
2014-03-02,2.49,1.68,1.63,2.49,3.7,1.41
2014-03-03,2.5,1.38,1.29,2.29,3.31,1.8
2014-03-04,1.89,1.33,1.31,2.66,3.79,1.18
2014-03-05,2.17,1.02,0.99,2.72,3.63,1.16
2014-03-06,1.8,1.44,1.26,2.26,3.48,1.16
2014-03-07,2.08,1.35,1.27,2.89,3.84,1.61
2014-03-08,2.43,1.4,1.14,2.05,3.15,1.54
2014-03-09,3.31,1.36,1.49,2.79,3.91,1.92
2014-03-10,2.07,1.39,1.11,2.34,3.66,0.91
2014-03-11,1.87,1.23,1.25,2.48,3.49,1.12
2014-03-12,2.51,1.54,1.38,2.92,4.48,1.59
2014-03-13,2.74,1.4,1.19,2.91,4.48,1.25
2014-03-14,2.05,0.92,1.4,1.99,2.56,1.03
2014-03-15,2.45,1.45,1.57,2.59,3.64,1.79
2014-03-16,2.52,1.47,1.52,2.63,3.33,1.35
2014-03-17,1.54,1.31,1.23,2.41,3.2,1.39
2014-03-18,2.52,1.44,1.2,2.85,3.84,1.36
2014-03-19,1.77,1.03,1.07,1.62,2.54,1.2
2014-03-20,1.42,1.24,1.27,2.34,3.23,1.85
2014-03-21,2.85,1.3,1.17,2.23,3.51,2.56
2014-03-22,3.02,1.27,1.3,1.99,3.23,1.7
2014-03-23,1.97,1.36,1.48,1.88,2.96,2.11
2014-03-24,2.73,1.38,1.36,1.81,2.94,1.06
2014-03-25,1.2,1.07,1.05,1.78,2.31,1.22
2014-03-26,2.63,1.3,1.2,1.55,2.64,1.76
2014-03-27,2.69,1.69,1.26,1.66,2.38,2.27
2014-03-28,2.59,1.66,1.33,1.65,2.45,1.59
2014-03-29,2.87,1.4,1.4,1.93,2.93,1.72
2014-03-30,2.8,1.48,1.43,2.27,3.35,1.65
2014-03-31,2.75,1.41,1.41,2.23,3.19,1.56
2014-04-01,1.88,1.49,1.24,1.39,2.1,2.09
2014-04-02,2.1,1.28,1.2,2.21,3.02,1.57
2014-04-03,1.84,0.97,1.2,1.25,2.14,1.91
2014-04-04,2.32,1.27,1.03,1.68,2.84,1.59
2014-04-05,1.91,1.14,1.15,1.8,2.61,1.52
2014-04-06,2.22,1.43,1.16,1.4,2.8,2.59
2014-04-07,1.13,1.22,1.39,1.91,3.12,1.51
2014-04-08,1.53,1.2,1.2,2.05,3.02,1.74
2014-04-09,3.03,1.07,1.2,1.79,2.18,1.59
2014-04-10,2.35,1.69,1.28,1.62,2.6,2.4
2014-04-11,2.12,1.3,1.45,1.74,2.3,2.1
2014-04-12,2.15,1.41,1.23,1.94,3.2,2.34
2014-04-13,1.68,1.33,1.09,1.7,1.95,1.9
2014-04-14,1.66,1.55,1.56,2.06,3.21,1.45
2014-04-15,2.09,1.05,1.17,2.63,4.28,1.25
2014-04-16,3.04,1.84,1.8,2.16,2.8,1.91
2014-04-17,2.19,1.27,1.05,1.89,3.0,1.6
2014-04-18,2.2,1.35,1.54,2.19,3.18,1.99
2014-04-19,2.61,1.5,1.48,1.52,2.65,2.28
2014-04-20,1.53,1.2,1.43,1.88,2.71,1.76
2014-04-21,1.77,1.03,1.06,2.09,2.72,1.29
2014-04-22,1.71,1.05,0.84,3.33,4.38,1.51
2014-04-23,2.17,1.2,1.31,1.98,2.24,1.2
2014-04-24,2.54,1.2,1.11,1.62,2.48,1.8
2014-04-25,1.32,0.98,1.02,2.12,2.4,1.42
2014-04-26,1.77,1.07,1.16,2.3,3.68,1.69
2014-04-27,2.09,1.15,1.17,1.3,1.8,1.37
2014-04-28,2.2,1.34,0.82,1.32,2.08,1.55
2014-04-29,1.56,1.32,1.18,2.04,2.81,1.5
2014-04-30,2.08,1.29,1.08,2.13,2.81,0.97
2014-05-01,1.38,1.07,0.94,2.38,3.27,1.47
2014-05-02,1.89,1.26,0.95,2.98,5.12,1.41
2014-05-03,1.53,0.91,1.12,1.73,2.48,1.22
