-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2014 through 12/31/2023 
Location: Latitude  6.5   Longitude -75.25 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1291.33 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS10M_MAX     MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
-END HEADER-
YEAR,MO,DY,WS10M_MAX
2014,1,1,1.35
2014,1,2,1.55
2014,1,3,1.49
2014,1,4,1.28
2014,1,5,1.02
2014,1,6,1.28
2014,1,7,1.07
2014,1,8,1.06
2014,1,9,1.35
2014,1,10,1.27
2014,1,11,1.96
2014,1,12,2.0
2014,1,13,1.84
2014,1,14,1.53
2014,1,15,1.73
2014,1,16,1.6
2014,1,17,1.36
2014,1,18,1.11
2014,1,19,0.93
2014,1,20,1.42
2014,1,21,1.15
2014,1,22,1.3
2014,1,23,1.16
2014,1,24,1.41
2014,1,25,1.24
2014,1,26,1.55
2014,1,27,1.61
2014,1,28,1.38
2014,1,29,1.39
2014,1,30,1.87
2014,1,31,1.45
2014,2,1,1.38
2014,2,2,1.72
2014,2,3,1.33
2014,2,4,1.06
2014,2,5,1.1
2014,2,6,1.48
2014,2,7,1.27
2014,2,8,1.18
2014,2,9,1.74
2014,2,10,1.71
2014,2,11,1.48
2014,2,12,1.52
2014,2,13,1.6
2014,2,14,1.2
2014,2,15,1.56
2014,2,16,1.47
2014,2,17,1.35
2014,2,18,1.38
2014,2,19,1.23
2014,2,20,1.25
2014,2,21,1.18
2014,2,22,1.55
2014,2,23,1.17
2014,2,24,1.35
2014,2,25,1.44
2014,2,26,1.27
2014,2,27,1.41
2014,2,28,1.11
2014,3,1,1.41
2014,3,2,1.68
2014,3,3,1.38
2014,3,4,1.33
2014,3,5,1.02
2014,3,6,1.44
2014,3,7,1.35
2014,3,8,1.4
2014,3,9,1.36
2014,3,10,1.39
2014,3,11,1.23
2014,3,12,1.54
2014,3,13,1.4
2014,3,14,0.92
2014,3,15,1.45
2014,3,16,1.47
2014,3,17,1.31
2014,3,18,1.44
2014,3,19,1.03
2014,3,20,1.24
2014,3,21,1.3
2014,3,22,1.27
